trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.05, 'e': 0.6499999999999997}",20,-5,-69.56737616730881,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
71,False,"{'a': 0.05, 'e': 0.6449999999999997}",25,3,-37.959838482983535,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.05, 'e': 0.6399999999999997}",20,15,10.948807324928726,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.05, 'e': 0.6349999999999997}",20,5,-27.370597394552632,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
74,False,"{'a': 0.05, 'e': 0.6299999999999997}",25,-40,-283.58486214498015,"{0: 46, 1: 2, 2: 10, 3: 2, 4: 5}",0
75,False,"{'a': 0.05, 'e': 0.6249999999999997}",30,-5,-47.84238072449721,"{0: 26, 1: 5, 2: 3, 3: 0, 4: 1}",0
76,False,"{'a': 0.05, 'e': 0.6199999999999997}",20,0,-53.84834543266782,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",1
77,False,"{'a': 0.05, 'e': 0.6149999999999997}",20,15,3.9052431060445505,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.05, 'e': 0.6099999999999997}",30,0,-56.43569367800068,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",1
79,False,"{'a': 0.05, 'e': 0.6049999999999996}",35,8,-128.76333990578055,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 3}",1
80,False,"{'a': 0.05, 'e': 0.5999999999999996}",20,-92,-332.1867949502488,"{0: 79, 1: 7, 2: 18, 3: 4, 4: 4}",0
81,False,"{'a': 0.05, 'e': 0.5949999999999996}",20,-7,-62.971242616702924,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 0}",0
82,False,"{'a': 0.05, 'e': 0.5899999999999996}",30,7,-17.07133718505314,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 0}",1
83,False,"{'a': 0.05, 'e': 0.5849999999999996}",35,10,-122.65927615576635,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",1
84,False,"{'a': 0.05, 'e': 0.5799999999999996}",30,13,-68.37180471500189,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
85,False,"{'a': 0.05, 'e': 0.5749999999999996}",25,8,-86.20435226825197,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 2}",1
86,False,"{'a': 0.05, 'e': 0.5699999999999996}",20,3,-37.95462559876014,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
87,False,"{'a': 0.05, 'e': 0.5649999999999996}",20,-37,-170.85311093177683,"{0: 43, 1: 4, 2: 6, 3: 0, 4: 4}",0
88,False,"{'a': 0.05, 'e': 0.5599999999999996}",30,5,-55.49819544195231,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",1
89,False,"{'a': 0.05, 'e': 0.5549999999999996}",25,-9,-195.13434120553876,"{0: 19, 1: 3, 2: 6, 3: 4, 4: 2}",0
90,False,"{'a': 0.05, 'e': 0.5499999999999996}",20,10,13.313171145397572,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.05, 'e': 0.5449999999999996}",20,-38,-101.29393234100388,"{0: 43, 1: 1, 2: 12, 3: 2, 4: 0}",0
92,False,"{'a': 0.05, 'e': 0.5399999999999996}",20,-9,-16.204406764128436,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.05, 'e': 0.5349999999999996}",30,13,-3.503994612141648,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.05, 'e': 0.5299999999999996}",20,14,12.058278606140073,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.05, 'e': 0.5249999999999996}",30,6,-116.03974201937855,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 2}",1
96,False,"{'a': 0.05, 'e': 0.5199999999999996}",20,3,14.668359625932823,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.05, 'e': 0.5149999999999996}",25,-33,-203.14955992981567,"{0: 38, 1: 6, 2: 8, 3: 4, 4: 2}",0
98,False,"{'a': 0.05, 'e': 0.5099999999999996}",20,-1,-73.14837749738892,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 1}",1
99,False,"{'a': 0.05, 'e': 0.5049999999999996}",25,16,2.6191969198760647,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.05, 'e': 0.49999999999999956}",25,-20,-41.152393044564626,"{0: 40, 1: 0, 2: 3, 3: 0, 4: 2}",0
101,False,"{'a': 0.05, 'e': 0.49499999999999955}",25,-20,-13.31457373533376,"{0: 39, 1: 1, 2: 3, 3: 2, 4: 0}",0
102,False,"{'a': 0.05, 'e': 0.48999999999999955}",25,15,10.620496387978847,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.05, 'e': 0.48499999999999954}",25,-9,-45.08533983363718,"{0: 29, 1: 2, 2: 1, 3: 0, 4: 2}",0
104,False,"{'a': 0.05, 'e': 0.47999999999999954}",30,11,-59.67296974761917,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 0}",1
